accession	length	genome_region	host	country	isolation	collection_date	release_date	name
KF600624	1752	orf1ab	Homo sapiens	Saudi Arabia		2013/05/02	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_10c_2013, partial genome
KF600641	361	orf1ab	Homo sapiens	Saudi Arabia		2013/05/02	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_10d_2013, partial genome
KF600614	2151	orf1ab-S	Homo sapiens	Saudi Arabia		2013/05/02	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_10e_2013, partial genome
KF600629	2169	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/03	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_11a_2013, partial genome
KF600646	9625	orf1a	Homo sapiens	Saudi Arabia		2013/05/03	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_11b_2013, partial genome
KF600636	15461	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/03	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_11c_2013, partial genome
KF600627	30076	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/07	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_12_2013, complete genome
KF600650	2140	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/07	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_13a_2013, partial genome
KF600616	3787	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/07	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_13b_2013, partial genome
KF600637	1935	orf1ab	Homo sapiens	Saudi Arabia		2013/05/07	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_13c_2013, partial genome
KF600656	1678	orf1ab	Homo sapiens	Saudi Arabia		2013/05/07	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_13d_2013, partial genome
KF600640	1752	orf1ab-S	Homo sapiens	Saudi Arabia		2013/05/07	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_13e_2013, partial genome
KF600615	6673	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/08	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_14a_2013, partial genome
KF600643	15966	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/08	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_14b_2013, partial genome
KF600645	30071	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/11	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_15_2013, complete genome
KF600644	30078	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/12	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_16_2013, complete genome
KF600647	30115	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/15	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_17_2013, complete genome
KF600651	30105	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/23	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_18_2013, complete genome
KF600632	30108	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/23	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_19_2013, complete genome
KF186567	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/09	2013/06/10	Middle East respiratory syndrome coronavirus isolate Al-Hasa_1_2013, complete genome
KF600634	30063	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/30	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_21_2013, complete genome
KF600617	2102	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/09	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_22a_2013, partial genome
KF600625	2101	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/09	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_22b_2013, partial genome
KF600633	2880	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/09	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_22c_2013, partial genome
KF600619	881	orf1ab	Homo sapiens	Saudi Arabia		2013/05/09	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_22d_2013, partial genome
KF600631	4099	orf1ab-S	Homo sapiens	Saudi Arabia		2013/05/09	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_22e_2013, partial genome
KF600621	2042	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/09	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_22f_2013, partial genome
KJ156860	6064	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_23a_2013 ORF1a gene, partial cds
KJ156894	7745	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_23b_2013 ORF1ab and ORF1a genes, partial cds
KJ156929	4274	orf1ab-S	Homo sapiens	Saudi Arabia		2013/05/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_23c_2013 ORF1ab and S protein genes, partial cds
KJ156862	1641	N-orf8b	Homo sapiens	Saudi Arabia		2013/05/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_23e_2013 N protein and ORF8b genes, complete cds
KJ156867	2147	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_24a_2013 ORF1a gene, partial cds
KJ156919	2199	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_24b_2013 ORF1a gene, partial cds
KJ156875	2381	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_24c_2013 ORF1ab and ORF1a genes, partial cds
KJ156885	2087	orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_24d_2013 ORF1ab gene, partial cds
KJ156870	2102	S	Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_24e_2013 S protein gene, partial cds
KJ156902	1577	N-orf8b	Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_24g_2013 N protein and ORF8b genes, complete cds
KJ156866	30054	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_25_2013, complete genome
KJ156882	2116	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/18	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_26a_2013 ORF1a gene, partial cds
KJ156941	18545	orf1ab	Homo sapiens	Saudi Arabia		2013/06/18	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_26b_2013 ORF1ab gene, partial cds
KJ156872	9202	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/18	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_26c_2013 ORF1ab gene, partial cds; and S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds
KJ156943	18500	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_27a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156939	9861	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_27b_2013 ORF1ab gene, partial cds; and S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds
KJ156887	945	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28a_2013 ORF1a gene, partial cds
KJ156940	9023	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28b_2013 ORF1a gene, partial cds
KJ156889	1783	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28c_2013 ORF1ab and ORF1a genes, partial cds
KJ156893	1080	orf1ab	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28d_2013 ORF1ab gene, partial cds
KJ156884	2228	orf1ab	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28e_2013 ORF1ab gene, partial cds
KJ156930	4237	orf1ab-S	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28f_2013 ORF1ab and S protein genes, partial cds
KJ156909	1714	N-orf8b	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus isolate Al-Hasa_28h_2013 N protein and ORF8b genes, complete cds
KF186566	30113	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/04/21	2013/06/10	Middle East respiratory syndrome coronavirus isolate Al-Hasa_2_2013, complete genome
KF186565	30069	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/04/22	2013/06/10	Middle East respiratory syndrome coronavirus isolate Al-Hasa_3_2013, complete genome
KF186564	30081	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/01	2013/06/10	Middle East respiratory syndrome coronavirus isolate Al-Hasa_4_2013, complete genome
KF600655	18505	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_7a_2013, partial genome
KF600623	9142	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_7b_2013, partial genome
KF600618	1933	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_8a_2013, partial genome
KF600638	6169	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_8b_2013, partial genome
KF600626	11638	orf1ab-S-orf3-orf4a-orf4b	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_8c_2013, partial genome
KF600635	2489	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_8d_2013, partial genome
KF600648	4327	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_9a_2013, partial genome
KF600654	2218	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_9b_2013, partial genome
KF600649	2150	orf1ab-S	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_9c_2013, partial genome
KF600622	3138	S-orf3-orf4a-orf4b-orf5	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_9d_2013, partial genome
KF600639	2044	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/01	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_9e_2013, partial genome
KJ156948	6308	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_1a_2013 ORF1a gene, partial cds
KJ156925	2351	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_1b_2013 ORF1ab and ORF1a genes, partial cds
KJ156903	3031	orf1ab-S	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_1c_2013 ORF1ab and S protein genes, partial cds
KJ156883	1638	N-orf8b	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_1d_2013 N protein and ORF8b genes, complete cds
KJ156863	2975	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2a_2013 ORF1a gene, partial cds
KJ156899	2757	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2b_2013 ORF1a gene, partial cds
KJ156912	2853	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2c_2013 ORF1a gene, partial cds
KJ156900	1857	orf1ab	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2d_2013 ORF1ab gene, partial cds
KJ156898	2251	orf1ab	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2e_2013 ORF1ab gene, partial cds
KJ156945	4748	orf1ab-S	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2f_2013 ORF1ab and S protein genes, partial cds
KJ156932	2036	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Asir_2g_2013 M protein gene, partial cds; and N protein and ORF8b genes, complete cds
KF600620	30056	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2012/06/19	2013/09/17	Middle East respiratory syndrome coronavirus isolate Bisha_1_2012, complete genome
KF600630	30081	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/05/13	2013/09/17	Middle East respiratory syndrome coronavirus isolate Buraidah_1_2013, complete genome
KF600628	30104	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/04	2013/09/17	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_1_2013, complete genome
KJ156910	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_2_2013, complete genome
KJ156931	6369	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_4a_2013 ORF1a gene, partial cds
KJ156895	5000	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_4b_2013 ORF1ab and ORF1a genes, partial cds
KJ156864	2245	S	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_4c_2013 S protein gene, partial cds
KJ156861	2043	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_4d_2013 M protein gene, partial cds; and N protein and ORF8b genes, complete cds
KJ156951	9951	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_5a_2013 ORF1a gene, partial cds
KJ156924	2640	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_5b_2013 ORF1ab and ORF1a genes, partial cds
KJ156954	4162	orf1ab-S	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_5c_2013 ORF1ab and S protein genes, partial cds
KJ156913	2043	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/25	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_5d_2013 M protein gene, partial cds; and N protein and ORF8b genes, complete cds
KJ156874	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/28	2014/02/06	Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_6_2013, complete genome
KT357805	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate HafrAlBatin_696/KSA/2014 spike protein gene, complete cds
KT806023	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/17	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Aflaj-KSA-10802/2015 spike protein gene, complete cds
KX154694	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02/29	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Artawiyah-KSA-13328/2016, complete genome
KT805992	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/01	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Aseer-KSA-Rs924/2015 spike protein gene, complete cds
KT805988	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/10	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buqayq-KSA-11012/2015 spike protein gene, complete cds
KT805981	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/10	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buraydah-KSA-2937/2015 spike protein gene, complete cds
KT805970	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/12	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buraydah-KSA-3049/2015 spike protein gene, complete cds
KT806002	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/13	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buraydah-KSA-3317/2015 spike protein gene, complete cds
KT806001	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/13	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buraydah-KSA-3319/2015 spike protein gene, complete cds
KT806004	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/14	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buraydah-KSA-3334/2015 spike protein gene, complete cds
KT806006	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/28	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Buraydah-KSA-3818/2015 spike protein gene, complete cds
KT805984	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/08	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Dhahran-KSA-6740/2015 spike protein gene, complete cds
KT806016	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/04/16	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Duba-KSA-313/2015 spike protein gene, complete cds
KT806033	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/04/25	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-10357/2015 spike protein gene, complete cds
KT806046	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/10	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11002/2015, complete genome
KT805990	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/10	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11003/2015 spike protein gene, complete cds
KT806041	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/12	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11078/2015 spike protein gene, complete cds
KT805987	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/12	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11080/2015 spike protein gene, complete cds
KT805989	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/13	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11150/2015 spike protein gene, complete cds
KT806024	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/20	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11401/2015 spike protein gene, complete cds
KT806025	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/22	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11442/2015 spike protein gene, complete cds
KT806026	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/23	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11476/2015 spike protein gene, complete cds
KT806032	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/27	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11765/2015 spike protein gene, complete cds
KT806031	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/27	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11767/2015 spike protein gene, complete cds
KT806030	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/28	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11853/2015 spike protein gene, complete cds
KT806029	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/28	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11869/2015 spike protein gene, complete cds
KT806034	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/29	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11876/2015 spike protein gene, complete cds
KT806027	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/29	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11882/2015 spike protein gene, complete cds
KT806028	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/29	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11905/2015 spike protein gene, complete cds
KT806035	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/06/01	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-12055/2015 spike protein gene, complete cds
KT806036	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/06/02	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-12124/2015 spike protein gene, complete cds
KT806037	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/06/03	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-12177/2015 spike protein gene, complete cds
KT806038	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/06/04	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-12225/2015 spike protein gene, complete cds
KT806039	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/06/07	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-12354/2015 spike protein gene, complete cds
KT806040	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/06/13	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-12597/2015 spike protein gene, complete cds
KT805982	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/30	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-6648/2015 spike protein gene, complete cds
